Feature,LightGBM_Gain,XGBoost_Gain,CatBoost_Gain,Abs_Correlation,LGBM_Norm,XGB_Norm,CB_Norm,Corr_Norm,Tree_Score,NN_Score,Combined_Score
risk_score_composite,1304472.7175791264,0.37804980874061583,7.480768440373851,0.58209077094197,1.0,0.9999999997354846,0.9999999999866324,0.9999999998282054,0.9999999999073723,0.9999999998282054,0.9999999998836222
CLV_simple,311982.9766547441,0.036070425808429715,4.604832988106917,0.5790894154538111,0.23916404877652794,0.09541183453854582,0.6155561457019562,0.9948438358114038,0.31671067633900996,0.9948438358114038,0.5201506241807281
risk_echeck_mtm,3054.708761262894,0.026117176190018652,3.4134554917587856,0.5278351886512876,0.002341719163687762,0.06908395555102513,0.4562974404194456,0.9067918869533658,0.1759077050447195,0.9067918869533658,0.39517295961731336
CROSS_Dependents_Contract,6474.799201607704,0.0026269288267940284,5.935600441844483,0.38812679159430374,0.004963537461805872,0.006948631543685108,0.793447957796767,0.666780527888354,0.26845337560075266,0.666780527888354,0.38795152128703303
CROSS_Contract_InternetService,92065.99314541816,0.18994162380695342,0.35999544708571346,0.42726586037521636,0.07057717030393443,0.502424864039627,0.04812278978426853,0.7340193001349089,0.20704160804261,0.7340193001349089,0.36513491567029965
total_per_tenure_sq,57681.401024222374,0.0050834289751946924,3.7141919158372274,0.4090133792518804,0.04421817355541861,0.01344645297079847,0.4964987147232111,0.7026625392457728,0.1847211137498094,0.7026625392457728,0.34010354139859844
monthly_x_inv_tenure,16756.5040643692,0.00661432184278965,1.9677619632596357,0.47642626280688194,0.012845423164898647,0.01749590050865022,0.26304275809598415,0.818474173631127,0.09779469392317768,0.818474173631127,0.3139985378355624
CROSS3_Contract_InternetService_PaymentMethod,122792.71649360657,0.018413173034787178,2.003938366229602,0.42137165540601007,0.09413206948589037,0.04870568005643429,0.2678786787982262,0.7238933794668052,0.13690547611351694,0.7238933794668052,0.3130018471195034
cost_per_service,16376.31452832222,0.0011698764516040682,2.7120536944374978,0.43364407709420527,0.012553972427046079,0.0030945034867013595,0.3625367789442911,0.7449767264269829,0.12606175161934619,0.7449767264269829,0.3117362440616372
monthly_per_tenure,23248.91846129894,0.0039270440582185985,1.6705119045079093,0.4764262628068819,0.017822464316804475,0.010387636672167248,0.22330752753551278,0.8184741736311268,0.0838392095081615,0.8184741736311268,0.3042296987450511
risk_mtm_no_security,1534.7005867004395,0.001248535350896418,1.4248815076830768,0.4958757813455946,0.0011764911339415178,0.003302568396279219,0.19047261240889596,0.8518873791074775,0.06498389064637224,0.8518873791074775,0.30105493718470383
WoE_Contract,464.8881099700928,0.004311332642100751,1.8778787050750112,0.458052246761957,0.0003563800941984007,0.011404139193516669,0.2510275140873177,0.7869086224164348,0.08759601112501092,0.7869086224164348,0.2973897945124381
CROSS_Contract_PaymentMethod,13111.023428726196,0.006198839750140905,2.2046875727860846,0.4249694983278158,0.010050822261011304,0.016396886349846852,0.29471405114718857,0.7300742761598853,0.10705391991934891,0.7300742761598853,0.2939600267915098
CROSS3_Contract_PaymentMethod_PaperlessBilling,16004.081037044525,0.0023084914311766623,2.264360213272126,0.4134145317733037,0.012268620739531683,0.006106315562640351,0.30269085740190294,0.7102234777460431,0.10702193123469166,0.7102234777460431,0.2879823951880971
fiber_no_security,10912.335171031951,0.011919080466032028,0.853265626997006,0.46719570409044453,0.008365322650276152,0.031527804504345246,0.11406122696974672,0.8026165803215572,0.051318118041456036,0.8026165803215572,0.27670765672548636
risk_mtm_high,77.70146350860595,0.0007479910214897245,0.058708758726669676,0.5189445116408727,5.956541862585391e-05,0.0019785515135786625,0.007847958293834171,0.8915181917623217,0.0032953584086795624,0.8915181917623217,0.26976220841477216
WoE_PaymentMethod,3608.737861585617,0.006791842728853225,0.6239906939847095,0.47617256357565463,0.0027664341407483053,0.017965470607384005,0.08341264656832292,0.818038332274678,0.03471485043881841,0.818038332274678,0.26971189498957626
GRP_Contract_TotalCharges_mean,142.33199462890624,0.0,0.872127075820257,0.4696904509380314,0.00010911074851227979,0.0,0.11658255201453799,0.8069024184961106,0.03889722092101675,0.8069024184961106,0.26929878019354486
ORIG_prob_Contract,254.55155878067018,0.0,0.7264548466901946,0.4708547379010338,0.00019513751062043936,0.0,0.09710965557492635,0.8089025996034631,0.03243493102851559,0.8089025996034631,0.26537523160099985
total_log_ratio,4390.760463786125,0.0007683415547944606,0.36972430460762484,0.47998631269805847,0.0033659274008693797,0.0020323818100868025,0.04942330558011572,0.8245901439716357,0.018273871597023966,0.8245901439716357,0.2601687533094075
